ticker,company,snapshot,n_results,n_matched,n_ai_builder,n_ai_user,n_ai_leader,builder_rate,ai_rate
RL,Ralph Lauren Corporation,2026-06,25,18,0,0,1,0.0,0.05555555555555555
RMD,ResMed,2026-06,25,6,0,0,0,0.0,0.0
ROK,Rockwell Automation,2026-06,25,6,1,0,0,0.16666666666666666,0.16666666666666666
ROL,Rollins Inc.,2026-06,25,1,0,0,0,0.0,0.0
ROP,Roper Technologies,2026-06,25,0,0,0,0,,
ROST,Ross Stores,2026-06,25,7,0,0,0,0.0,0.0
RSG,Republic Services,2026-06,25,5,1,0,0,0.2,0.2
RTX,RTX Corporation,2026-06,25,9,1,0,1,0.1111111111111111,0.2222222222222222
RVTY,Revvity,2026-06,25,24,13,0,0,0.5416666666666666,0.5416666666666666
SATS,EchoStar,2026-06,25,2,0,0,0,0.0,0.0
SBAC,SBA Communications,2026-06,25,0,0,0,0,,
SBUX,Starbucks,2026-06,25,2,0,0,0,0.0,0.0
SCHW,Charles Schwab Corporation,2026-06,25,5,2,1,0,0.4,0.6
SFM,Sprouts Farmers Market,2026-06,25,1,0,0,0,0.0,0.0
SHW,Sherwin-Williams,2026-06,25,9,0,0,0,0.0,0.0
SJM,J.M. Smucker Company,2026-06,25,4,0,0,0,0.0,0.0
SLB,Schlumberger,2026-06,25,2,1,0,0,0.5,0.5
SMCI,Supermicro,2026-06,25,0,0,0,0,,
SNA,Snap-on,2026-06,25,1,0,0,0,0.0,0.0
SNDK,Sandisk,2026-06,25,6,1,0,0,0.16666666666666666,0.16666666666666666
SNPS,Synopsys,2026-06,25,2,0,0,0,0.0,0.0
SO,Southern Company,2026-06,25,3,1,0,0,0.3333333333333333,0.3333333333333333
SOLV,Solventum,2026-06,25,23,3,0,0,0.13043478260869565,0.13043478260869565
SPG,Simon Property Group,2026-06,25,1,0,0,0,0.0,0.0
SPGI,S&P Global,2026-06,25,12,3,0,3,0.25,0.5
SRE,Sempra,2026-06,25,0,0,0,0,,
STE,Steris,2026-06,25,10,0,0,0,0.0,0.0
STLD,Steel Dynamics,2026-06,25,1,0,0,0,0.0,0.0
STT,State Street Corporation,2026-06,25,9,0,0,0,0.0,0.0
STX,Seagate Technology,2026-06,25,12,8,1,0,0.6666666666666666,0.75
STZ,Constellation Brands,2026-06,25,1,0,0,0,0.0,0.0
SW,Smurfit Westrock,2026-06,25,7,0,0,0,0.0,0.0
SWK,Stanley Black & Decker,2026-06,25,12,1,0,0,0.08333333333333333,0.08333333333333333
SWKS,Skyworks Solutions,2026-06,25,0,0,0,0,,
SYF,Synchrony Financial,2026-06,25,7,3,0,0,0.42857142857142855,0.42857142857142855
SYK,Stryker Corporation,2026-06,25,11,4,0,1,0.36363636363636365,0.45454545454545453
SYY,Sysco,2026-06,25,0,0,0,0,,
T,AT&T,2026-06,25,0,0,0,0,,
TAP,Molson Coors Beverage Company,2026-06,25,10,0,0,0,0.0,0.0
TDG,TransDigm Group,2026-06,25,0,0,0,0,,
TDY,Teledyne Technologies,2026-06,25,0,0,0,0,,
TECH,Bio-Techne,2026-06,25,0,0,0,0,,
TEL,TE Connectivity,2026-06,25,5,2,0,0,0.4,0.4
TER,Teradyne,2026-06,25,1,0,0,0,0.0,0.0
TFC,Truist Financial,2026-06,25,7,1,0,1,0.14285714285714285,0.2857142857142857
TGT,Target Corporation,2026-06,25,13,8,2,0,0.6153846153846154,0.7692307692307693
TJX,TJX Companies,2026-06,25,14,0,2,0,0.0,0.14285714285714285
TKO,TKO Group Holdings,2026-06,25,2,0,1,1,0.0,1.0
TMO,Thermo Fisher Scientific,2026-06,25,14,3,2,2,0.21428571428571427,0.5
TMUS,T-Mobile US,2026-06,25,5,0,0,1,0.0,0.2
TPL,Texas Pacific Land Corporation,2026-06,25,0,0,0,0,,
TPR,Tapestry Inc.,2026-06,25,11,1,1,0,0.09090909090909091,0.18181818181818182
TRGP,Targa Resources,2026-06,25,0,0,0,0,,
TRMB,Trimble Inc.,2026-06,25,8,1,2,1,0.125,0.5
TROW,T. Rowe Price,2026-06,25,16,6,0,0,0.375,0.375
TRV,Travelers Companies,2026-06,25,13,8,0,2,0.6153846153846154,0.7692307692307693
TSCO,Tractor Supply,2026-06,25,2,1,0,0,0.5,0.5
TSLA,Tesla Inc.,2026-06,25,9,8,0,0,0.8888888888888888,0.8888888888888888
TSN,Tyson Foods,2026-06,25,1,0,0,0,0.0,0.0
TT,Trane Technologies,2026-06,25,1,0,0,0,0.0,0.0
TTD,Trade Desk,2026-06,25,2,1,0,0,0.5,0.5
TTWO,Take-Two Interactive,2026-06,25,9,1,1,0,0.1111111111111111,0.2222222222222222
TXN,Texas Instruments,2026-06,25,6,0,3,0,0.0,0.5
TXT,Textron,2026-06,25,0,0,0,0,,
TYL,Tyler Technologies,2026-06,25,10,0,1,0,0.0,0.1
UAL,United Airlines Holdings,2026-06,25,4,2,0,0,0.5,0.5
UBER,Uber,2026-06,25,2,2,0,0,1.0,1.0
UDR,UDR Inc.,2026-06,25,0,0,0,0,,
UHS,Universal Health Services,2026-06,25,0,0,0,0,,
ULTA,Ulta Beauty,2026-06,25,10,2,1,1,0.2,0.4
UNH,UnitedHealth Group,2026-06,25,25,22,1,2,0.88,1.0
UNP,Union Pacific Corporation,2026-06,25,1,1,0,0,1.0,1.0
UPS,UPS,2026-06,25,3,1,0,0,0.3333333333333333,0.3333333333333333
URI,United Rentals,2026-06,25,0,0,0,0,,
USB,U.S. Bancorp,2026-06,25,9,2,0,1,0.2222222222222222,0.3333333333333333
V,Visa Inc.,2026-06,25,16,9,1,0,0.5625,0.625
VEEV,Veeva Systems,2026-06,25,19,2,1,0,0.10526315789473684,0.15789473684210525
VICI,Vici Properties,2026-06,25,0,0,0,0,,
VLO,Valero Energy,2026-06,25,0,0,0,0,,
VLTO,Veralto,2026-06,25,11,2,0,1,0.18181818181818182,0.2727272727272727
VMC,Vulcan Materials Company,2026-06,25,0,0,0,0,,
VRSK,Verisk Analytics,2026-06,25,7,2,0,1,0.2857142857142857,0.42857142857142855
