company_id,name,sector_larridin,in_larridin,ticker,cik,gics_sector,in_sp500,match_method,ticker_dup,share_class_dup
37fbb3f6-1f88-4e0e-b793-08d3b86383a2,PPL Corporation,utilities,True,PPL,0000922224,Utilities,True,sp500_exact,False,False
3fc12093-7f20-4ff8-94d6-8396cc54da56,PTC Inc.,technology,True,PTC,0000857005,Information Technology,True,sp500_exact,False,False
50610d48-9af9-43a1-a44c-fe1c514523c7,Paccar,industrials,True,PCAR,0000075362,Industrials,True,sp500_exact,False,False
c86809e0-21a8-49c5-bc28-bafb608e704c,Packaging Corporation of America,materials,True,PKG,0000075677,Materials,True,sp500_exact,False,False
101ef996-320c-42f1-a344-ac1887ccb6d5,Palantir Technologies,technology,True,PLTR,0001321655,Information Technology,True,sp500_exact,False,False
4f5171e6-5282-4bc7-b32a-0b6337c46f65,Palo Alto Networks,technology,True,PANW,0001327567,Information Technology,True,sp500_exact,False,False
96c2b61b-14dc-414b-aec5-c1fa32516875,Paramount Skydance Corporation,communication-services,True,PSKY,0002041610,Communication Services,True,sp500_exact,False,False
1c912109-58c3-4c03-a604-29e0427e7c5e,Parker Hannifin,industrials,True,PH,0000076334,Industrials,True,sp500_exact,False,False
76e3e985-716f-4de3-b308-43a806dd19e9,PayPal,financials,True,PYPL,0001633917,Financials,True,sp500_exact,False,False
676229d2-41f4-46bc-8716-ef36ad40763d,Paychex,industrials,True,PAYX,0000723531,Industrials,True,sp500_exact,False,False
3aaad55a-e12c-4085-b0ff-d09fa5d7ed4b,Paycom,industrials,True,PAYC,0001590955,,False,manual,False,False
b1f8218d-905e-46d7-bcbf-6d52b31554d4,Pentair,industrials,True,PNR,0000077360,Industrials,True,sp500_exact,False,False
27822f9d-f334-4cb9-b76c-3e17f486efe1,PepsiCo,consumer-staples,True,PEP,0000077476,Consumer Staples,True,sp500_exact,False,False
c3e90f67-1a88-463c-bc71-968787e933dc,PetSmart,retail,True,,,,False,private:private,False,False
3293c6c0-2eae-4898-850c-e4d3c60418bd,Petco,retail,True,WOOF,0001826470,,False,manual,False,False
7b62a980-c7f8-4643-9e52-7e7f3ea200bb,Pfizer,healthcare,True,PFE,0000078003,Health Care,True,sp500_exact,False,False
a507cdf5-bdcc-417a-9553-d9f9ca7ad2e7,Philip Morris International,consumer-staples,True,PM,0001413329,Consumer Staples,True,sp500_exact,False,False
e9780ccc-49d2-4624-8bac-973981ff8989,Phillips 66,energy,True,PSX,0001534701,Energy,True,sp500_exact,False,False
8676f206-3958-47a0-826d-af73126b7139,Pinnacle West Capital,utilities,True,PNW,0000764622,Utilities,True,sp500_exact,False,False
